"col0","col1","col2","col3","col4","col5","col6","col7","col8","partition_0"
"the leaves of the plant","absorb","carbon dioxide",,,,,,,"auto"
"the leaves of the plant","absorb","sunlight",,,,,,,"auto"
"the stem","supports","the plant also",,,,,,,"auto"
"fruit","develops","around the seed",,,,,,,"auto"
"roses","have","thorns for protection",,,,,,,"auto"
"roots","secure","the plant in the soil",,,,,,,"auto"
"roots","bring in","water & nutrients for survival",,,,,,,"auto"
"the stem","provides","support for the plant",,,,,,,"auto"
"the digestive system","takes in","nutrients",,,,,,,"auto"
"the urinary system","eliminates","chemical waste",,,,,,,"auto"
"the locomotion system","protects","the organs",,,,,,,"auto"
"the locomotion system","provides","structure for the body",,,,,,,"auto"
"some animals","have","claws & spines & shells as a defense mechanism",,,,,,,"auto"
"some animals","give off","a smell as a defense mechanism",,,,,,,"auto"
"a fish","has","a flipper & fin",,,,,,,"auto"
"birds","have","wings",,,,,,,"auto"
"horses","have","strong legs & hooves",,,,,,,"auto"
"a baby","inherit","a trait from a parent",,,,,,,"auto"
"genes","carry","traits",,,,,,,"auto"
"all living things","have","dna",,,,,,,"auto"
"our genes","determine","hair & eye & skin color",,,,,,,"auto"
"they[humans]","eat","healthy foods",,,,,,,"auto"
"they[humans]","get","regular rest",,,,,,,"auto"
"animals","need","plants for food and energy",,,,,,,"auto"
"humans","need","plant & animals for nutrition",,,,,,,"auto"
"some animals","use","nonliving materials for shelter",,,,,,,"auto"
"animals","have","less success in survival",,,,,,,"auto"
"a glass of water","contains","ice cubes",,,,,,,"auto"
"a balance","measures","mass",,,,,,,"auto"
"the gas phase of matter","take","the shape of a closed container",,,,,,,"auto"
"the earth","makes","a complete rotation on its[earth] axis & every 24 hours once",,,,,,,"auto"
"the water cycle","involves","movement of water between air and land",,,,,,,"auto"
"water from the oceans","enters","the atmosphere through evaporation",,,,,,,"auto"
"erosion","moving","pieces from one location to another",,,,,,,"auto"
"a metric ruler & a balance","measure","the size of an object & mass",,,,,,,"auto"
"a scientist","record","observations",,,,,,,"auto"
"students","wear","safety goggles in the laboratory",,,,,,,"auto"
"they[students]","handling","chemicals the laboratory",,,,,,,"auto"
"the roots of the plant","take in","water & nutrients",,,,,,,"auto"
"photosynthesis","takes","place in the leaves of the plant",,,,,,,"auto"
"the life processes of all living things","taking in","nutrients & breathing & reproduction",,,,,,,"auto"
"some animals","have","claws & spines & shells",,,,,,,"auto"
"some animals","give off","a smell as a defense mechanism",,,,,,,"auto"
"light","is","one of the most important things for a plant",,,,,,,"auto"
"undigested food","leaves","the body during egestion",,,,,,,"auto"
"tiny spots","are","all over the skin",,,,,,,"auto"
"other animals","change","their amount of body fat with the seasons",,,,,,,"auto"
"a family tree","is","a chart",,,,,,,"auto"
"some food chains","create","a food web",,,,,,,"auto"
"gravity","is","the force",,,,,,,"auto"
"1 month","equals","approximately 30 or 31 days",,,,,,,"auto"
"a thermometer","measures","temperature",,,,,,,"auto"
"the processes of weathering and erosion","change","the landscape of the earth on a daily basis",,,,,,,"auto"
"earthquakes","occur","every day all over earth",,,,,,,"auto"
"a volcano","is","a mountain",,,,,,,"auto"
"they[adults]","have","bones",,,,,,,"auto"
"the brain and spinal cord","are","part of the nervous system",,,,,,,"auto"
"chromosomes","contain","hundreds of pieces of information",,,,,,,"auto"
"cars & trucks","create","gases",,,,,,,"auto"
"one complete revolution of the moon around the earth","takes","approximately one month",,,,,,,"auto"
"the plant","use","water",,,,,,,"auto"
"the plant","make","the food",,,,,,,"auto"
"the sun","provide","light",,,,,,,"auto"
"the plant itself[kiwi]","spread_out","seeds",,,,,,,"auto"
"environmental conditions","influence","some animal behaviors",,,,,,,"auto"
"environmental conditions such as the availability of food air water space shelter heat and sunlight","affect","the health of organisms & growth & development",,,,,,,"auto"
"( the body growing new bone cells )","do","this healing",,,,,,,"auto"
"the tobacco","release","chemicals",,,,,,,"auto"
"brakes","exert","the force on a bicycle on car",,,,,,,"auto"
"earth","receive","the amount of sunlight",,,,,,,"auto"
"these weather instruments","provide","the information",,,,,,,"auto"
"satellites & computer models","provide","information",,,,,,,"auto"
"the addition of heat & removal","change","water easily from one phase to another",,,,,,,"auto"
"the flow of the colorado river over a long period of time","create","the grand canyon in arizona",,,,,,,"auto"
"the shifting of the plates","cause","earthquakes",,,,,,,"auto"
"wind & water & birds & insects","spread","seeds",,,,,,,"auto"
"the nervous system","control","the five senses",,,,,,,"auto"
"(  revolution the moon around the earth )","cause","the different phases of the moon",,,,,,,"auto"
"heavy rain","cause","a flood",,,,,,,"auto"
"differences in air pressure","cause","winds",,,,,,,"auto"
"(  adding heat )","change","liquid water to water vapor",,,,,,,"auto"
"(  removing heat )","change","water vapor to liquid water",,,,,,,"auto"
"the radiation","heat","surface waters from the sun",,,,,,,"auto"
"the intestine","absorb","the nutrients into the blood",,,,,,,"auto"
"a plant","increases","the process in size",,,,,,,"auto"
"they[humans]","produce","the same species",,,,,,,"auto"
"roots","grow","longer",,,,,,,"auto"
"the earth","revolve","completely around the sun",,,,,,,"auto"
"a simple machine","moves","a sail up the mast of a ship",,,,,,,"auto"
"it[attraction]","fall","back down to earth 's surface",,,,,,,"auto"
"an object","travels","slowly over a bumpy surface",,,,,,,"auto"
"your body","growing","always",,,,,,,"auto"
"the moon & earth","moving","constantly",,,,,,,"auto"
"elephants","move","(  slowly  very ) because_of their size",,,,,,,"auto"
"some animals","prepare","the long winter",,,,,,,"auto"
"cactus plants","go","also for long periods of time with little water",,,,,,,"auto"
"all living things","going","constantly through some form of growth and repair",,,,,,,"auto"
"your body","heal","usually from a cut",,,,,,,"auto"
"one part of the earth","pointed","always as a result toward the sun",,,,,,,"auto"
"hail","associated","commonly with thunderstorms in the spring in summer",,,,,,,"auto"
"the seeds","grow","then into plants",,,,,,,"auto"
"the food","goes","then through a tube",,,,,,,"auto"
"the digested food","moves","then into the intestine",,,,,,,"auto"
"hurricanes","occur","usually between june between november",,,,,,,"auto"
"temperatures","decrease","gradually throughout fall",,,,,,,"auto"
"water in the liquid phase","sinks","often into the cracks between rocks",,,,,,,"auto"
"living things","depend","upon each other upon the nonliving environment",,,,,,,"auto"
"oxygen","is","in the air",,,,,,,"auto"
"it[rock]","exists","in nature",,,,,,,"auto"
"caterpillars","change","into butterflies",,,,,,,"auto"
"mealworms","turn","into beetles",,,,,,,"auto"
"plants","grow","from a seed into a flower into tree into bush",,,,,,,"auto"
"fish","breathe","through gills",,,,,,,"auto"
"all living things","rid","of the solid waste",,,,,,,"auto"
"all animals","rid","of this solid waste",,,,,,,"auto"
"animals","rid","of their gaseous waste",,,,,,,"auto"
"plants","rid","of gaseous waste through their leaves in the form of oxygen",,,,,,,"auto"
"little green particles","make_up","of chlorophyll",,,,,,,"auto"
"other living organisms","depend","on plants",,,,,,,"auto"
"extra food","made","in the leaves to the roots",,,,,,,"auto"
"the roots","store","for later use",,,,,,,"auto"
"seeds","grow","in the center of a flower",,,,,,,"auto"
"food","aids","in germination in growth",,,,,,,"auto"
"the body systems","work","like a machine",,,,,,,"auto"
"it[fur]","blend","into the desert landscape",,,,,,,"auto"
"organisms","respond","to changes in their environment or to a stimulus",,,,,,,"auto"
"our bodies","sweat","in the hot weather",,,,,,,"auto"
"some animals","hibernate","during the winter months",,,,,,,"auto"
"some animals","moving","to a warmer climate in the cold months",,,,,,,"auto"
"organisms","adapted","to their environment",,,,,,,"auto"
"fish","live","in the water",,,,,,,"auto"
"camels","go","for long periods of time with little water",,,,,,,"auto"
"all living things","go","through different stages in its life",,,,,,,"auto"
"life cycle stages","occur","throughout the life span of the organism",,,,,,,"auto"
"some children","look","like their[children] parents",,,,,,,"auto"
"pea plants","pass","on their traits from one generation of plant to the next",,,,,,,"auto"
"dna","looks","like a twisted ladder",,,,,,,"auto"
"an offspring","look","like its[offspring] parents",,,,,,,"auto"
"your body","is","like a very delicate machine",,,,,,,"auto"
"plants & animals","depend","on each other on the nonliving environment for survival",,,,,,,"auto"
"plants & animals","interact","in a number of ways that affect their survival",,,,,,,"auto"
"individuals in a species","compete","with each other for food within their[individuals] environment for mates for space for water for shelter",,,,,,,"auto"
"many things in our living environment","go","through cycles",,,,,,,"auto"
"all animals","depend","on plants as a direct source of food and energy",,,,,,,"auto"
"living things","feed","on others",,,,,,,"auto"
"they[consumers]","help","in plant growth",,,,,,,"auto"
"humans","live","in many different environments",,,,,,,"auto"
"some people","live","in very cold regions",,,,,,,"auto"
"others","live","in tropical areas",,,,,,,"auto"
"humans","live","in areas with forests prairies deserts or at the beach",,,,,,,"auto"
"( many forest animals cutting too many trees down )","resulted","in many forest animals",,,,,,,"auto"
"humans","depend","on natural and constructed environments",,,,,,,"auto"
"energy for humans","comes","from the foods",,,,,,,"auto"
"energy","give_off","from a light source such as the sun or a light bulb",,,,,,,"auto"
"a pot","heat","on the stove",,,,,,,"auto"
"light energy","changes","to electrical energy in a solar calculator",,,,,,,"auto"
"electrical energy","results","from positive and negative charges",,,,,,,"auto"
"electricity","travels","in a path",,,,,,,"auto"
"the energy","flow","through wires",,,,,,,"auto"
"the amount of friction","depends","on its[amount] smoothness",,,,,,,"auto"
"they[skiers]","glide","along the surface of the snow or water faster",,,,,,,"auto"
"a force","acts","on objects on earth",,,,,,,"auto"
"all objects","move","around the sun",,,,,,,"auto"
"the earth","rotates","on its[earth] axis",,,,,,,"auto"
"the sun","move","through the sky during the day",,,,,,,"auto"
"the earth","revolves","around the sun",,,,,,,"auto"
"anything north of the equator","is","in the northern hemisphere",,,,,,,"auto"
"(  anything  south of the equator )","is","in the southern hemisphere",,,,,,,"auto"
"the earth","tilted","on its[earth] axis",,,,,,,"auto"
"winter","lasts","from december 22 to march 19",,,,,,,"auto"
"spring","lasts","from march 20 to june 19",,,,,,,"auto"
"summer","lasts","from june 20 to september 21",,,,,,,"auto"
"fall","lasts","from september 22 to december 22",,,,,,,"auto"
"the earth","comes","between the sun between a full moon",,,,,,,"auto"
"the moon","appears","during a lunar eclipse",,,,,,,"auto"
"the moon","viewed","from earth",,,,,,,"auto"
"the moon","comes","between the sun and the earth",,,,,,,"auto"
"it[sky]","moves","in_front_of the sun",,,,,,,"auto"
"water","falls","from the sky",,,,,,,"auto"
"liquid water","falling","from the sky",,,,,,,"auto"
"dust","falling","from the sky",,,,,,,"auto"
"the precipitation","be","in the form of snow",,,,,,,"auto"
"clouds","condenses","on dust particles",,,,,,,"auto"
"dust particles","suspended","in the air",,,,,,,"auto"
"tornados","happen","at any time of the year",,,,,,,"auto"
"most severe thunderstorms","occur","in summer",,,,,,,"auto"
"floods","occur","during periods of heavy rain",,,,,,,"auto"
"the amount of daylight hours","increases","throughout spring",,,,,,,"auto"
"the longest period of daylight hours","occurs","at the beginning of summer",,,,,,,"auto"
"temperatures","warmer","during summer through the month of august",,,,,,,"auto"
"the amount of daylight hours","decreases","throughout fall",,,,,,,"auto"
"the shortest period of daylight hours","occurs","at the beginning of winter",,,,,,,"auto"
"temperatures","colder","throughout winter",,,,,,,"auto"
"the puddles","form","on your street after a heavy rain",,,,,,,"auto"
"those puddles","disappear","after a few hours after days",,,,,,,"auto"
"water droplets","appeared","after a few minutes on the outside of your glass",,,,,,,"auto"
"water","falling","from the sky",,,,,,,"auto"
"the water","be","in liquid form such as rain in in solid form such as snow",,,,,,,"auto"
"water","found","on the surface of the earth",,,,,,,"auto"
